---,TargetCoefficientId,CoefficientItemId,TargetCoefficientItemId,Threshold,TargetCoefficientValue,Is2vs2Mode
1,1,1,1,20,1.6,False
2,2,1,1,18,1.6,False
3,3,1,1,16,1.6,False
4,4,1,1,14,1.5,False
5,5,1,1,12,1.5,False
6,6,1,1,10,1.5,False
7,7,1,1,8,1.4,False
8,8,1,1,6,1.3,False
9,9,1,1,4,1.2,False
10,10,1,1,2,1.1,False
11,11,1,1,1,1,False
12,12,1,1,0,1,False
13,13,1,2,20,0.8,False
14,14,1,2,18,0.85,False
15,15,1,2,16,0.9,False
16,16,1,2,14,0.95,False
17,17,1,2,12,1,False
18,18,1,2,10,1,False
19,19,1,2,8,1,False
20,20,1,2,6,1,False
21,21,1,2,4,1,False
22,22,1,2,2,1,False
23,23,1,2,1,1,False
24,24,1,2,0,1,False
25,25,1,3,1,0.3,False
26,26,8,4,100,0.5,False
27,27,8,4,99,1,False
28,28,8,4,30,1.1,False
29,29,8,4,20,1.15,False
30,30,8,4,10,1.2,False
31,31,8,4,0,1.2,False
32,32,37,5,-8,0,False
33,33,37,5,-5.2,0,False
34,34,37,5,-4.2,0,False
35,35,37,5,-3.2,0,False
36,36,37,5,-2.8,0,False
37,37,37,5,-2.4,0,False
38,38,37,5,-2,0,False
39,39,37,5,-1.6,0,False
40,40,37,5,-1.2,0,False
41,41,37,5,-0.8,0,False
42,42,37,5,-0.4,0,False
43,43,37,5,0,0,False
44,44,38,6,10000,1,False
45,45,38,6,10001,1,False
46,46,38,6,10091,1,False
47,47,38,6,10092,1,False
48,48,38,6,10100,1,False
49,49,38,6,10101,1,False
50,50,38,6,10107,1,False
51,51,38,6,10110,1,False
52,52,38,6,10102,1,False
53,53,38,6,10200,1,False
54,54,38,6,10202,1,False
55,55,38,6,11100,1,False
56,56,38,6,11102,1,False
57,57,38,6,11103,1,False
58,58,38,6,11104,1,False
59,59,38,6,11200,1,False
60,60,38,6,12100,1,False
61,61,38,6,12101,1,False
62,62,38,6,12102,1,False
63,63,38,6,12103,1,False
64,64,38,6,12104,1,False
65,65,38,6,12200,1,False
66,66,38,6,12202,1,False
67,67,38,6,13100,1,False
68,68,38,6,13101,1,False
69,69,38,6,13200,1,False
70,70,46,7,150,2000,False
71,71,46,7,120,1500,False
72,72,46,7,90,1000,False
73,73,46,7,60,600,False
74,74,46,7,30,300,False
75,75,46,7,0,0,False
76,76,47,8,0,1500,False
77,77,47,8,2,1000,False
78,78,47,8,4,600,False
79,79,47,8,6,400,False
80,80,47,8,8,200,False
81,81,47,8,99,0,False
82,82,48,8,0,1000,False
83,83,48,8,2,600,False
84,84,48,8,4,200,False
85,85,48,8,6,100,False
86,86,48,8,8,0,False
87,87,52,9,1,100,True
88,88,52,9,2,130,True
89,89,52,9,3,75,True
90,90,52,9,4,100,True
91,91,52,9,5,130,True
92,92,52,9,6,100,True
93,93,52,9,7,100,True
94,94,52,9,8,100,True
95,95,52,9,9,75,True
96,96,52,9,10,75,True
97,97,52,9,11,100,True
98,98,52,9,12,75,True
99,99,56,9,1,1,True
100,100,56,9,2,1,True
101,101,56,9,3,1,True
102,102,56,9,4,1,True
103,103,7,9,1,1,True
104,104,7,9,2,2,True
105,105,7,9,3,3,True
106,106,61,4,100,0,True
107,107,61,4,70,1,True
108,108,61,4,50,1.1,True
109,109,61,4,20,1.1,True
110,110,61,4,10,1.1,True
111,111,61,4,0,1.1,True
112,112,54,9,1,1,True
113,113,54,9,2,1.5,True
114,114,62,10,0,1000,True
115,115,62,10,-0.1,0,True
116,116,63,7,12000,1000,True
117,117,63,7,9000,750,True
118,118,63,7,6000,500,True
119,119,63,7,3000,250,True
120,120,63,7,0,0,True
121,121,64,7,10,0,True
122,122,64,7,9,0,True
123,123,64,7,8,0,True
124,124,64,7,7,0,True
125,125,64,7,6,0,True
126,126,64,7,5,0,True
127,127,64,7,4,0,True
128,128,64,7,3,0,True
129,129,64,7,2,0,True
