---,ShopId,ShopName,BeginAt,EndAt
1,1,ショップ1.15 1回目,1970-01-01 00:00:00,2020-09-23 06:00:00
2,2,ショップ1.15 2回目,2020-09-23 08:00:00,2020-09-30 06:00:00
3,3,ショップ1.15 3回目,2020-09-30 08:00:00,2020-10-07 06:00:00
4,4,ショップ1.15 4回目,2020-10-07 08:00:00,2020-10-14 06:00:00
5,5,ショップ1.15 5回目,2020-10-14 08:00:00,2020-10-21 06:00:00
6,6,ショップ1.15 6回目,2020-10-21 08:00:00,2020-10-28 06:00:00
7,7,ショップ1.15 7回目,2020-10-28 08:00:00,2020-11-11 06:00:00
8,8,ショップ1.15 8回目,2020-11-11 08:00:00,2020-11-25 06:00:00
9,9,ショップ1.15 9回目,2020-11-25 08:00:00,2020-12-09 06:00:00
10,10,ショップ1.15 10回目,2020-12-09 08:00:00,2020-12-23 06:00:00
11,11,ショップ1.15 11回目,2020-12-23 08:00:00,2021-01-06 06:00:00
12,7,ショップ1.15 7回目,2021-01-06 08:00:00,2021-01-20 06:00:00
13,8,ショップ1.15 8回目,2021-01-20 08:00:00,2021-02-03 06:00:00
14,9,ショップ1.15 9回目,2021-02-03 08:00:00,2021-02-17 06:00:00
15,10,ショップ1.15 10回目,2021-02-17 08:00:00,2021-03-03 06:00:00
16,11,ショップ1.15 11回目,2021-03-03 08:00:00,2021-03-17 06:00:00
17,7,ショップ1.15 7回目,2021-03-17 08:00:00,2021-03-31 06:00:00
18,8,ショップ1.15 8回目,2021-03-31 08:00:00,2021-04-14 06:00:00
19,9,ショップ1.15 9回目,2021-04-14 08:00:00,2021-04-28 06:00:00
20,10,ショップ1.15 10回目,2021-04-28 08:00:00,2021-05-12 06:00:00
21,11,ショップ1.15 11回目,2021-05-12 08:00:00,2021-05-26 06:00:00
22,7,ショップ1.15 7回目,2021-05-26 08:00:00,2021-06-09 06:00:00
23,8,ショップ1.15 8回目,2021-06-09 08:00:00,2021-06-23 06:00:00
24,9,ショップ1.15 9回目,2021-06-23 08:00:00,2021-07-07 06:00:00
25,10,ショップ1.15 10回目,2021-07-07 08:00:00,2021-07-21 06:00:00
26,11,ショップ1.15 11回目,2021-07-21 08:00:00,2021-08-04 06:00:00
27,7,ショップ1.15 7回目,2021-08-04 08:00:00,2021-08-18 06:00:00
28,8,ショップ1.15 8回目,2021-08-18 08:00:00,2021-09-01 06:00:00
29,9,ショップ1.15 9回目,2021-09-01 08:00:00,2021-09-15 06:00:00
30,10,ショップ1.15 10回目,2021-09-15 08:00:00,2021-09-29 06:00:00
31,11,ショップ1.15 11回目,2021-09-29 08:00:00,2021-10-13 06:00:00
32,7,ショップ1.15 7回目,2021-10-13 08:00:00,2021-10-27 06:00:00
33,8,ショップ1.15 8回目,2021-10-27 08:00:00,2021-11-10 06:00:00
34,9,ショップ1.15 9回目,2021-11-10 08:00:00,2021-11-24 06:00:00
35,10,ショップ1.15 10回目,2021-11-24 08:00:00,2021-12-08 06:00:00
36,11,ショップ1.15 11回目,2021-12-08 08:00:00,2021-12-22 06:00:00
37,12,ショップ1.15 12回目,2021-12-22 08:00:00,2039-01-01 06:00:00
