---,ShopItemId,ItemTypeId,RewardId,Text,Release,NewFlag
1,30001,3,3000004,,100,False
2,30002,3,3000035,,100,False
3,30003,3,3000120,,100,False
4,30004,3,3000080,,100,True
5,30005,3,3000119,,100,False
6,30006,3,3000019,,100,False
7,30007,3,3000042,,100,True
8,30008,3,3000067,,100,True
9,30009,3,3000097,,100,True
10,40010,4,4060061,,100,False
11,40011,4,4060062,,100,False
12,40012,4,4060063,,100,False
13,40013,4,4060064,,100,False
14,40014,4,4060065,,100,False
15,40015,4,4040041,,100,False
16,40016,4,4040042,,100,False
17,40017,4,4040043,,100,False
18,40018,4,4040044,,100,False
19,40019,4,4040045,,100,False
20,40020,4,4090091,,100,False
21,40021,4,4090092,,100,False
22,40022,4,4090093,,100,False
23,40023,4,4090094,,100,False
24,40024,4,4090095,,100,False
25,50025,5,5000000,,100,False
26,60026,6,6010002,,100,False
27,60027,6,6010003,,100,False
28,60028,6,6010004,,100,False
29,60029,6,6010005,,100,False
30,60030,6,6010006,,100,False
31,60031,6,6010007,,100,False
32,60032,6,6010008,,100,False
33,60033,6,6020001,,100,False
34,60034,6,6020002,,100,False
35,60035,6,6020003,,100,False
36,60036,6,6020004,,100,False
37,60037,6,6020005,,100,False
38,60038,6,6020006,,100,False
39,60039,6,6020007,,100,False
40,60040,6,6020008,,100,False
41,60041,6,6020009,,100,False
42,60042,6,6020010,,100,False
43,60043,6,6020011,,100,False
44,60044,6,6020012,,100,False
45,60045,6,6020013,,100,False
46,60046,6,6020014,,100,False
47,60047,6,6020015,,100,False
48,60048,6,6020016,,100,False
49,60049,6,6020017,,100,False
50,60050,6,6020018,,100,False
51,60051,6,6020019,,100,False
52,60052,6,6020020,,100,False
53,60053,6,6020021,,100,False
54,60054,6,6020022,,100,False
55,60055,6,6030011,,100,False
56,60056,6,6030012,,100,False
57,60057,6,6030013,,100,False
58,60058,6,6030015,,100,False
59,60059,6,6030016,,100,False
60,60060,6,6030017,,100,False
61,60061,6,6030018,,100,False
62,110062,11,11000026,,100,False
63,110063,11,11000027,,100,False
64,110064,11,11000028,,100,False
65,110065,11,11000029,,100,False
66,110066,11,11000030,,100,False
67,110067,11,11000031,,100,False
68,110068,11,11000002,,100,False
69,110069,11,11000005,,100,False
70,110070,11,11000008,,100,False
71,110071,11,11000014,,100,False
72,110072,11,11000018,,100,False
73,110073,11,11000020,,100,False
74,120074,12,12001008,,100,False
75,120075,12,12002006,,100,False
76,120076,12,12003006,,100,False
77,120077,12,12004007,,100,False
78,120078,12,12005005,,100,False
79,120079,12,12006008,,100,False
80,50080,5,5000029,,999,False
81,50081,5,5000030,,999,False
82,50082,5,5000031,,999,False
83,50083,5,5000032,,999,False
84,50084,5,5000033,,999,False
85,50085,5,5000034,,100,True
86,50086,5,5000035,,999,False
87,50087,5,5000036,,999,False
88,50088,5,5000037,,999,False
89,50089,5,5000038,,999,False
90,50090,5,5000039,,999,False
91,50091,5,5000040,,999,False
92,50092,5,5000041,,999,False
93,50093,5,5000042,,999,False
94,50094,5,5000043,,100,True
95,50095,5,5000044,,999,False
96,50096,5,5000045,,100,True
97,50097,5,5000046,,999,False
98,50098,5,5000047,,999,False
99,50099,5,5000048,,999,False
100,50100,5,5000049,,100,True
101,50101,5,5000050,,999,False
102,50102,5,5000051,,999,False
103,50103,5,5000052,,999,False
104,50104,5,5000053,,100,True
105,50105,5,5000054,,100,True
106,50106,5,5000055,,100,True
107,50107,5,5000056,,999,False
108,50108,5,5000057,,100,True
109,50109,5,5000001,,100,True
110,50110,5,5000002,,999,False
111,50111,5,5000003,,999,False
112,50112,5,5000004,,100,True
113,50113,5,5000005,,100,True
114,50114,5,5000006,,999,False
115,50115,5,5000007,,999,False
116,50116,5,5000008,,100,True
117,50117,5,5000009,,999,False
118,50118,5,5000010,,999,False
119,50119,5,5000011,,999,False
120,50120,5,5000012,,999,False
121,50121,5,5000013,,999,False
122,50122,5,5000014,,100,True
123,50123,5,5000015,,999,False
124,50124,5,5000016,,999,False
125,50125,5,5000017,,999,False
126,50126,5,5000018,,999,False
127,50127,5,5000019,,100,True
128,50128,5,5000020,,999,False
129,50129,5,5000021,,999,False
130,50130,5,5000022,,100,True
131,50131,5,5000023,,999,False
132,50132,5,5000024,,999,False
133,50133,5,5000025,,100,True
134,50134,5,5000026,,100,True
135,50135,5,5000027,,999,False
136,50136,5,5000028,,999,False
