---,ShopId,ItemTypeId,RewardId,Cp,IsNewIcon,IsSale,IsEnable
1,1,3,3000004,2000,False,True,True
2,1,3,3000035,4400,False,False,True
3,1,3,3000042,4400,False,False,True
4,1,3,3000063,4400,False,False,True
5,1,3,3000072,4400,False,False,True
6,1,3,3000076,2000,False,True,True
7,1,3,3000107,4400,False,False,True
8,1,3,3000012,4400,False,False,True
9,1,3,3000023,4400,False,False,True
10,1,3,3000060,4400,False,False,True
11,1,3,3000067,4400,False,False,True
12,1,3,3000069,4400,False,False,True
13,1,3,3000080,2000,False,True,True
14,1,3,3000120,4400,False,False,True
15,1,3,3000128,4400,False,False,True
16,1,3,3000019,4400,False,False,True
17,1,3,3000038,4400,False,False,True
18,1,3,3000064,4400,False,False,True
19,1,3,3000078,4400,False,False,True
20,1,3,3000085,2000,False,True,True
21,1,3,3000097,4400,False,False,True
22,1,3,3000119,4400,False,False,True
23,1,3,3000020,4400,False,False,True
24,1,3,3000125,4400,False,False,True
25,1,3,3000053,4400,False,False,True
26,1,3,3000065,2000,False,True,True
27,1,3,3000018,4400,False,False,True
28,1,3,3000084,4400,False,False,True
29,1,3,3000100,4400,False,False,True
30,1,3,3000024,4400,False,False,True
31,1,3,3000118,4400,False,False,True
32,1,3,3000122,4400,False,False,True
33,1,3,3000030,4400,False,False,True
34,1,3,3000017,4400,False,False,True
35,1,3,3000052,4400,False,False,True
36,1,3,3000131,4400,False,False,True
37,1,3,3000013,4400,False,False,True
38,1,3,3000074,4400,False,False,True
39,1,3,3000033,4400,False,False,True
40,1,3,3000202,4400,False,False,True
41,1,3,3000049,4400,False,False,True
42,1,3,3000206,4400,False,False,True
43,1,3,3000134,4400,False,False,True
44,1,3,3000048,2000,False,True,True
45,1,3,3000141,4400,False,False,True
46,1,3,3000142,4400,False,False,True
47,1,3,3000093,4400,False,False,True
48,1,3,3000047,30000,False,False,True
49,1,3,3000137,10000,False,False,True
50,1,3,3000113,4400,False,False,True
51,1,3,3000143,4400,False,False,True
52,1,3,3000040,4400,False,False,True
53,1,3,3000127,10000,False,False,True
54,1,3,3000099,30000,False,False,True
55,1,3,3000057,4400,False,False,True
56,1,3,3000011,4400,False,False,True
57,1,3,3000096,4400,False,False,True
58,1,3,3000138,4400,False,False,False
59,1,3,3000103,4400,False,False,False
60,1,3,3000106,4400,False,False,False
61,1,3,3000031,4400,False,False,True
62,1,3,3000014,4400,False,False,True
63,1,3,3000046,4400,False,False,True
64,1,3,3000092,6300,False,False,True
65,1,3,3000068,6300,False,False,True
66,1,3,3000088,6300,False,False,True
67,1,3,3000070,30000,False,False,True
68,1,3,3000029,30000,False,False,True
69,1,3,3000136,10000,False,False,True
70,1,4,4030031,3000,False,False,True
71,1,4,4030032,3000,False,False,True
72,1,4,4030033,2700,False,False,True
73,1,4,4030034,2700,False,False,True
74,1,4,4030035,3400,False,False,True
75,1,4,4040041,3000,False,False,True
76,1,4,4040042,3000,False,False,True
77,1,4,4040043,2700,False,False,True
78,1,4,4040044,2700,False,False,True
79,1,4,4040045,3400,False,False,True
80,1,4,4060061,3000,False,False,True
81,1,4,4060062,3000,False,False,True
82,1,4,4060063,2700,False,False,True
83,1,4,4060064,2700,False,False,True
84,1,4,4060065,3400,False,False,True
85,1,4,4080081,3000,False,False,True
86,1,4,4080082,3000,False,False,True
87,1,4,4080083,2700,False,False,True
88,1,4,4080084,2700,False,False,True
89,1,4,4080085,3400,False,False,True
90,1,4,4090091,3000,False,False,True
91,1,4,4090092,3000,False,False,True
92,1,4,4090093,2700,False,False,True
93,1,4,4090094,2700,False,False,True
94,1,4,4090095,3400,False,False,True
95,1,4,4100101,3000,False,False,True
96,1,4,4100102,3000,False,False,True
97,1,4,4100103,2700,False,False,True
98,1,4,4100104,2700,False,False,True
99,1,4,4100105,3400,False,False,True
100,1,4,4110111,3000,False,False,True
101,1,4,4110112,3000,False,False,True
102,1,4,4110113,2700,False,False,True
103,1,4,4110114,2700,False,False,True
104,1,4,4110115,3400,False,False,True
105,1,4,4120121,3000,False,False,True
106,1,4,4120122,3000,False,False,True
107,1,4,4120123,2700,False,False,True
108,1,4,4120124,2700,False,False,True
109,1,4,4120125,3400,False,False,True
110,1,4,4070071,3000,False,False,True
111,1,4,4070072,3000,False,False,True
112,1,4,4070073,2700,False,False,True
113,1,4,4070074,2700,False,False,True
114,1,4,4070075,3400,False,False,True
115,1,4,4140141,9000,True,False,True
116,1,4,4140142,9000,True,False,True
117,1,4,4140143,8000,True,False,True
118,1,4,4140144,8000,True,False,True
119,1,4,4140145,10000,True,False,True
120,1,4,4130131,3000,False,False,False
121,1,4,4130132,3000,False,False,False
122,1,4,4130133,2700,False,False,False
123,1,4,4130134,2700,False,False,False
124,1,4,4130135,3400,False,False,False
125,1,6,6010002,1700,False,False,True
126,1,6,6010003,1700,False,False,True
127,1,6,6010004,1700,False,False,True
128,1,6,6010005,1700,False,False,True
129,1,6,6010006,1700,False,False,True
130,1,6,6010007,1700,False,False,True
131,1,6,6010008,1700,False,False,True
132,1,6,6010009,1700,False,False,True
133,1,6,6010027,1700,False,False,True
134,1,6,6010010,1700,False,False,True
135,1,6,6010012,1700,False,False,True
136,1,6,6010021,1700,False,False,True
137,1,6,6010022,1700,False,False,True
138,1,6,6010030,1700,False,False,True
139,1,6,6010031,1700,False,False,True
140,1,6,6020001,1800,False,False,True
141,1,6,6020002,1800,False,False,True
142,1,6,6020003,1800,False,False,True
143,1,6,6020004,1800,False,False,True
144,1,6,6020005,1800,False,False,True
145,1,6,6020006,1800,False,False,True
146,1,6,6020007,1800,False,False,True
147,1,6,6020008,1800,False,False,True
148,1,6,6020009,1800,False,False,True
149,1,6,6020010,1800,False,False,True
150,1,6,6020011,1800,False,False,True
151,1,6,6020012,1800,False,False,True
152,1,6,6020013,1800,False,False,True
153,1,6,6020014,1800,False,False,True
154,1,6,6020015,1800,False,False,True
155,1,6,6020016,1800,False,False,True
156,1,6,6020017,1800,False,False,True
157,1,6,6020018,1800,False,False,True
158,1,6,6020019,1800,False,False,True
159,1,6,6020020,1800,False,False,True
160,1,6,6020021,1800,False,False,True
161,1,6,6020022,1800,False,False,True
162,1,6,6020056,1800,False,False,True
163,1,6,6020057,1800,False,False,True
164,1,6,6020058,1800,False,False,True
165,1,6,6020059,1800,False,False,True
166,1,6,6020027,1800,False,False,True
167,1,6,6020034,1800,False,False,True
168,1,6,6020040,1800,False,False,True
169,1,6,6020042,1800,False,False,True
170,1,6,6020043,1800,False,False,True
171,1,6,6020055,1800,False,False,True
172,1,6,6020072,1800,False,False,True
173,1,6,6020073,1800,False,False,True
174,1,6,6020077,1800,False,False,True
175,1,6,6030011,1800,False,False,True
176,1,6,6030012,1800,False,False,True
177,1,6,6030013,1800,False,False,True
178,1,6,6030015,1800,False,False,True
179,1,6,6030016,1800,False,False,True
180,1,6,6030017,1800,False,False,True
181,1,6,6030018,1800,False,False,True
182,1,6,6030053,1800,False,False,True
183,1,6,6030059,1800,False,False,True
184,1,6,6030006,1800,False,False,True
185,1,6,6030010,1800,False,False,True
186,1,6,6030025,1800,False,False,True
187,1,6,6030033,1800,False,False,True
188,1,6,6030034,1800,False,False,True
189,1,6,6030036,1800,False,False,True
190,1,6,6030067,1800,False,False,True
191,1,6,6030075,1800,False,False,True
192,1,6,6030076,1800,False,False,True
193,1,6,6010018,1800,False,False,True
194,1,6,6020028,1800,False,False,True
195,1,6,6020029,1800,False,False,True
196,1,6,6020037,1800,False,False,True
197,1,6,6020039,1800,False,False,True
198,1,6,6020053,1800,False,False,True
199,1,6,6020080,1800,False,False,True
200,1,6,6030007,1800,False,False,True
201,1,6,6030020,1800,False,False,True
202,1,6,6030021,1800,False,False,True
203,1,6,6030030,1800,False,False,True
204,1,6,6030031,1800,False,False,True
205,1,6,6030051,1800,False,False,True
206,1,6,6030062,1800,False,False,True
207,1,6,6030074,1800,False,False,True
208,1,6,6010016,1800,False,False,True
209,1,6,6010028,1800,False,False,True
210,1,6,6020031,1800,False,False,True
211,1,6,6020038,1800,False,False,True
212,1,6,6020060,1800,False,False,True
213,1,6,6020078,1800,False,False,True
214,1,6,6030022,1800,False,False,True
215,1,6,6030041,1800,False,False,True
216,1,11,11000002,1000,False,False,True
217,1,11,11000004,1000,False,False,True
218,1,11,11000005,1000,False,False,True
219,1,11,11000006,1000,False,False,True
220,1,11,11000008,1000,False,False,True
221,1,11,11000012,1000,False,False,True
222,1,11,11000014,1000,False,False,True
223,1,11,11000015,1000,False,False,True
224,1,11,11000018,1000,False,False,True
225,1,11,11000020,1000,False,False,True
226,1,11,11000023,1000,False,False,True
227,1,11,11000025,1000,False,False,True
228,1,11,11000026,1800,False,False,True
229,1,11,11000027,1800,False,False,True
230,1,11,11000028,1800,False,False,True
231,1,11,11000029,1800,False,False,True
232,1,11,11000030,1800,False,False,True
233,1,11,11000031,1800,False,False,True
234,1,11,11000003,1000,False,False,True
235,1,11,11000007,1000,False,False,True
236,1,11,11000009,1000,False,False,True
237,1,11,11000010,1000,False,False,True
238,1,11,11000011,1000,False,False,True
239,1,11,11000013,1000,False,False,True
240,1,11,11000016,1000,False,False,True
241,1,11,11000017,1000,False,False,True
242,1,11,11000019,1000,False,False,True
243,1,11,11000021,1000,False,False,True
244,1,11,11000022,1000,False,False,True
245,1,11,11000024,1000,False,False,True
246,1,12,12001008,20000,False,False,True
247,1,12,12002006,20000,False,False,True
248,1,12,12003006,20000,False,False,True
249,1,12,12004007,20000,False,False,True
250,1,12,12005005,20000,False,False,True
251,1,12,12006008,20000,False,False,True
252,1,12,12001007,20000,False,False,True
253,1,12,12002008,20000,False,False,True
254,1,12,12003008,20000,False,False,True
255,1,12,12004006,20000,False,False,True
256,1,12,12005007,20000,False,False,True
257,1,12,12006006,20000,False,False,True
258,1,12,12001001,30000,False,False,False
259,1,12,12001002,30000,False,False,False
260,1,12,12001003,30000,True,False,False
261,1,12,12001004,30000,False,False,True
262,1,12,12001005,30000,True,False,False
263,1,12,12001006,30000,True,False,False
264,1,12,12002001,30000,False,False,False
265,1,12,12002002,30000,False,False,False
266,1,12,12002003,30000,True,False,False
267,1,12,12002004,30000,False,False,True
268,1,12,12002005,30000,True,False,False
269,1,12,12002007,30000,True,False,False
270,1,12,12003001,30000,False,False,False
271,1,12,12003002,30000,False,False,False
272,1,12,12003003,30000,True,False,False
273,1,12,12003004,30000,False,False,True
274,1,12,12003005,30000,True,False,False
275,1,12,12003007,30000,True,False,False
276,1,12,12004001,30000,False,False,False
277,1,12,12004002,30000,False,False,False
278,1,12,12004003,30000,True,False,False
279,1,12,12004004,30000,False,False,True
280,1,12,12004005,30000,True,False,False
281,1,12,12004008,30000,True,False,False
282,1,12,12005001,30000,False,False,False
283,1,12,12005002,30000,False,False,False
284,1,12,12005003,30000,True,False,False
285,1,12,12005004,30000,False,False,True
286,1,12,12005006,30000,True,False,False
287,1,12,12005008,30000,True,False,False
288,1,12,12006001,30000,False,False,False
289,1,12,12006002,30000,False,False,False
290,1,12,12006003,30000,True,False,False
291,1,12,12006004,30000,False,False,True
292,1,12,12006005,30000,True,False,False
293,1,12,12006007,30000,True,False,False
294,1,5,5000000,60,False,False,True
295,1,5,5000001,60,False,False,True
296,1,5,5000002,60,False,False,True
297,1,5,5000004,60,False,False,True
298,1,5,5000005,60,False,False,True
299,1,5,5000008,60,False,False,True
300,1,5,5000010,60,False,False,True
301,1,5,5000014,60,False,False,True
302,1,5,5000015,60,False,False,True
303,1,5,5000019,60,False,False,True
304,1,5,5000022,60,False,False,True
305,1,5,5000025,60,False,False,True
306,1,5,5000026,60,False,False,True
307,1,5,5000027,60,False,False,True
308,1,5,5000033,60,False,False,True
309,1,5,5000034,60,False,False,True
310,1,5,5000038,60,False,False,True
311,1,5,5000043,60,False,False,True
312,1,5,5000045,60,False,False,True
313,1,5,5000048,60,False,False,True
314,1,5,5000053,60,False,False,True
315,1,5,5000054,60,False,False,True
316,1,5,5000055,60,False,False,True
317,1,5,5000057,60,False,False,True
318,1,5,5000049,60,False,False,True
319,1,5,5000003,60,False,False,True
320,1,5,5000006,60,False,False,True
321,1,5,5000007,60,False,False,True
322,1,5,5000009,60,False,False,True
323,1,5,5000011,60,False,False,True
324,1,5,5000012,60,False,False,True
325,1,5,5000013,60,False,False,True
326,1,5,5000016,60,False,False,True
327,1,5,5000017,60,False,False,True
328,1,5,5000018,60,False,False,True
329,1,5,5000020,60,False,False,True
330,1,5,5000021,60,False,False,True
331,1,5,5000023,60,False,False,True
332,1,5,5000024,60,False,False,True
333,1,5,5000028,60,False,False,True
334,1,5,5000029,60,False,False,True
335,1,5,5000030,60,False,False,True
336,1,5,5000031,60,False,False,True
337,1,5,5000032,60,False,False,True
338,1,5,5000035,60,False,False,True
339,1,5,5000036,60,False,False,True
340,1,5,5000037,60,False,False,True
341,1,5,5000039,60,False,False,True
342,1,5,5000040,60,False,False,True
343,1,5,5000041,60,False,False,True
344,1,5,5000042,60,False,False,True
345,1,5,5000044,60,False,False,True
346,1,5,5000046,60,False,False,True
347,1,5,5000047,60,False,False,True
348,1,5,5000050,60,False,False,True
349,1,5,5000051,60,False,False,True
350,1,5,5000052,60,False,False,True
351,1,5,5000056,60,False,False,True
352,1,3,3000135,10000,False,False,True
353,2,3,3000004,2000,False,True,True
354,2,3,3000035,4400,False,False,True
355,2,3,3000042,4400,False,False,True
356,2,3,3000063,4400,False,False,True
357,2,3,3000072,4400,False,False,True
358,2,3,3000076,2000,False,True,True
359,2,3,3000107,4400,False,False,True
360,2,3,3000012,4400,False,False,True
361,2,3,3000023,4400,False,False,True
362,2,3,3000060,4400,False,False,True
363,2,3,3000067,4400,False,False,True
364,2,3,3000069,4400,False,False,True
365,2,3,3000080,2000,False,True,True
366,2,3,3000120,4400,False,False,True
367,2,3,3000128,4400,False,False,True
368,2,3,3000019,4400,False,False,True
369,2,3,3000038,4400,False,False,True
370,2,3,3000064,4400,False,False,True
371,2,3,3000078,4400,False,False,True
372,2,3,3000085,2000,False,True,True
373,2,3,3000097,4400,False,False,True
374,2,3,3000119,4400,False,False,True
375,2,3,3000020,4400,False,False,True
376,2,3,3000125,4400,False,False,True
377,2,3,3000053,4400,False,False,True
378,2,3,3000065,2000,False,True,True
379,2,3,3000018,4400,False,False,True
380,2,3,3000084,4400,False,False,True
381,2,3,3000100,4400,False,False,True
382,2,3,3000024,4400,False,False,True
383,2,3,3000118,4400,False,False,True
384,2,3,3000122,4400,False,False,True
385,2,3,3000030,4400,False,False,True
386,2,3,3000017,4400,False,False,True
387,2,3,3000052,4400,False,False,True
388,2,3,3000131,4400,False,False,True
389,2,3,3000013,4400,False,False,True
390,2,3,3000074,4400,False,False,True
391,2,3,3000033,4400,False,False,True
392,2,3,3000202,4400,False,False,True
393,2,3,3000049,4400,False,False,True
394,2,3,3000206,4400,False,False,True
395,2,3,3000134,4400,False,False,True
396,2,3,3000048,2000,False,True,True
397,2,3,3000141,4400,False,False,True
398,2,3,3000142,4400,False,False,True
399,2,3,3000093,4400,False,False,True
400,2,3,3000047,30000,False,False,True
401,2,3,3000137,10000,False,False,True
402,2,3,3000113,4400,False,False,True
403,2,3,3000143,4400,False,False,True
404,2,3,3000040,4400,False,False,True
405,2,3,3000127,10000,False,False,True
406,2,3,3000099,30000,False,False,True
407,2,3,3000057,4400,False,False,True
408,2,3,3000011,4400,False,False,True
409,2,3,3000096,4400,False,False,True
410,2,3,3000138,4400,False,False,False
411,2,3,3000103,4400,False,False,False
412,2,3,3000106,4400,False,False,False
413,2,3,3000031,4400,False,False,True
414,2,3,3000014,4400,False,False,True
415,2,3,3000046,4400,False,False,True
416,2,3,3000092,6300,False,False,True
417,2,3,3000068,6300,False,False,True
418,2,3,3000088,6300,False,False,True
419,2,3,3000070,30000,False,False,True
420,2,3,3000029,30000,False,False,True
421,2,3,3000136,10000,False,False,True
422,2,4,4030031,3000,False,False,True
423,2,4,4030032,3000,False,False,True
424,2,4,4030033,2700,False,False,True
425,2,4,4030034,2700,False,False,True
426,2,4,4030035,3400,False,False,True
427,2,4,4040041,3000,False,False,True
428,2,4,4040042,3000,False,False,True
429,2,4,4040043,2700,False,False,True
430,2,4,4040044,2700,False,False,True
431,2,4,4040045,3400,False,False,True
432,2,4,4060061,3000,False,False,True
433,2,4,4060062,3000,False,False,True
434,2,4,4060063,2700,False,False,True
435,2,4,4060064,2700,False,False,True
436,2,4,4060065,3400,False,False,True
437,2,4,4080081,3000,False,False,True
438,2,4,4080082,3000,False,False,True
439,2,4,4080083,2700,False,False,True
440,2,4,4080084,2700,False,False,True
441,2,4,4080085,3400,False,False,True
442,2,4,4090091,3000,False,False,True
443,2,4,4090092,3000,False,False,True
444,2,4,4090093,2700,False,False,True
445,2,4,4090094,2700,False,False,True
446,2,4,4090095,3400,False,False,True
447,2,4,4100101,3000,False,False,True
448,2,4,4100102,3000,False,False,True
449,2,4,4100103,2700,False,False,True
450,2,4,4100104,2700,False,False,True
451,2,4,4100105,3400,False,False,True
452,2,4,4110111,3000,False,False,True
453,2,4,4110112,3000,False,False,True
454,2,4,4110113,2700,False,False,True
455,2,4,4110114,2700,False,False,True
456,2,4,4110115,3400,False,False,True
457,2,4,4120121,3000,False,False,True
458,2,4,4120122,3000,False,False,True
459,2,4,4120123,2700,False,False,True
460,2,4,4120124,2700,False,False,True
461,2,4,4120125,3400,False,False,True
462,2,4,4070071,3000,False,False,True
463,2,4,4070072,3000,False,False,True
464,2,4,4070073,2700,False,False,True
465,2,4,4070074,2700,False,False,True
466,2,4,4070075,3400,False,False,True
467,2,4,4140141,6300,False,False,True
468,2,4,4140142,6300,False,False,True
469,2,4,4140143,5600,False,False,True
470,2,4,4140144,5600,False,False,True
471,2,4,4140145,7000,False,False,True
472,2,4,4130131,3000,False,False,False
473,2,4,4130132,3000,False,False,False
474,2,4,4130133,2700,False,False,False
475,2,4,4130134,2700,False,False,False
476,2,4,4130135,3400,False,False,False
477,2,6,6010002,1700,False,False,True
478,2,6,6010003,1700,False,False,True
479,2,6,6010004,1700,False,False,True
480,2,6,6010005,1700,False,False,True
481,2,6,6010006,1700,False,False,True
482,2,6,6010007,1700,False,False,True
483,2,6,6010008,1700,False,False,True
484,2,6,6010009,1700,False,False,True
485,2,6,6010027,1700,False,False,True
486,2,6,6010010,1700,False,False,True
487,2,6,6010012,1700,False,False,True
488,2,6,6010021,1700,False,False,True
489,2,6,6010022,1700,False,False,True
490,2,6,6010030,1700,False,False,True
491,2,6,6010031,1700,False,False,True
492,2,6,6020001,1800,False,False,True
493,2,6,6020002,1800,False,False,True
494,2,6,6020003,1800,False,False,True
495,2,6,6020004,1800,False,False,True
496,2,6,6020005,1800,False,False,True
497,2,6,6020006,1800,False,False,True
498,2,6,6020007,1800,False,False,True
499,2,6,6020008,1800,False,False,True
500,2,6,6020009,1800,False,False,True
501,2,6,6020010,1800,False,False,True
502,2,6,6020011,1800,False,False,True
503,2,6,6020012,1800,False,False,True
504,2,6,6020013,1800,False,False,True
505,2,6,6020014,1800,False,False,True
506,2,6,6020015,1800,False,False,True
507,2,6,6020016,1800,False,False,True
508,2,6,6020017,1800,False,False,True
509,2,6,6020018,1800,False,False,True
510,2,6,6020019,1800,False,False,True
511,2,6,6020020,1800,False,False,True
512,2,6,6020021,1800,False,False,True
513,2,6,6020022,1800,False,False,True
514,2,6,6020056,1800,False,False,True
515,2,6,6020057,1800,False,False,True
516,2,6,6020058,1800,False,False,True
517,2,6,6020059,1800,False,False,True
518,2,6,6020027,1800,False,False,True
519,2,6,6020034,1800,False,False,True
520,2,6,6020040,1800,False,False,True
521,2,6,6020042,1800,False,False,True
522,2,6,6020043,1800,False,False,True
523,2,6,6020055,1800,False,False,True
524,2,6,6020072,1800,False,False,True
525,2,6,6020073,1800,False,False,True
526,2,6,6020077,1800,False,False,True
527,2,6,6030011,1800,False,False,True
528,2,6,6030012,1800,False,False,True
529,2,6,6030013,1800,False,False,True
530,2,6,6030015,1800,False,False,True
531,2,6,6030016,1800,False,False,True
532,2,6,6030017,1800,False,False,True
533,2,6,6030018,1800,False,False,True
534,2,6,6030053,1800,False,False,True
535,2,6,6030059,1800,False,False,True
