---,MapType,StageID,StartDate,EndDate,RuleID
0,1,10000,2017-01-01 00:00:00,2027-01-01 00:00:00,0
1,2,10100,2017-01-01 00:00:00,2027-01-01 00:00:00,0
2,4,10102,2017-01-01 08:00:00,2020-08-12 06:00:00,3
3,8,10102,2017-01-01 08:00:00,2020-08-12 06:00:00,3
4,16,10102,2017-01-01 08:00:00,2020-08-12 06:00:00,3
5,4,13100,2020-08-12 08:00:00,2020-08-19 06:00:00,13
6,8,13100,2020-08-12 08:00:00,2020-08-19 06:00:00,13
7,16,13100,2020-08-12 08:00:00,2020-08-19 06:00:00,13
8,4,12100,2020-08-19 08:00:00,2020-08-26 06:00:00,2
9,8,12100,2020-08-19 08:00:00,2020-08-26 06:00:00,2
10,16,12100,2020-08-19 08:00:00,2020-08-26 06:00:00,2
11,4,11200,2020-08-26 08:00:00,2020-09-02 06:00:00,1
12,8,11200,2020-08-26 08:00:00,2020-09-02 06:00:00,1
13,16,11200,2020-08-26 08:00:00,2020-09-02 06:00:00,1
14,4,10202,2020-09-02 08:00:00,2020-09-09 06:00:00,0
15,8,10202,2020-09-02 08:00:00,2020-09-09 06:00:00,0
16,16,10202,2020-09-02 08:00:00,2020-09-09 06:00:00,0
17,4,12200,2020-09-09 08:00:00,2020-09-16 06:00:00,4
18,8,12200,2020-09-09 08:00:00,2020-09-16 06:00:00,4
19,16,12200,2020-09-09 08:00:00,2020-09-16 06:00:00,4
20,4,11100,2020-09-16 08:00:00,2020-09-23 06:00:00,1
21,8,11100,2020-09-16 08:00:00,2020-09-23 06:00:00,1
22,16,11100,2020-09-16 08:00:00,2020-09-23 06:00:00,1
23,4,10102,2020-09-23 08:00:00,2020-09-30 06:00:00,0
24,8,10102,2020-09-23 08:00:00,2020-09-30 06:00:00,0
25,16,10102,2020-09-23 08:00:00,2020-09-30 06:00:00,0
26,4,13100,2020-09-30 08:00:00,2020-10-07 06:00:00,13
27,8,13100,2020-09-30 08:00:00,2020-10-07 06:00:00,13
28,16,13100,2020-09-30 08:00:00,2020-10-07 06:00:00,13
29,4,12100,2020-10-07 08:00:00,2020-10-14 06:00:00,2
30,8,12100,2020-10-07 08:00:00,2020-10-14 06:00:00,2
31,16,12100,2020-10-07 08:00:00,2020-10-14 06:00:00,2
32,4,11200,2020-10-14 08:00:00,2020-10-21 06:00:00,1
33,8,11200,2020-10-14 08:00:00,2020-10-21 06:00:00,1
34,16,11200,2020-10-14 08:00:00,2020-10-21 06:00:00,1
35,4,10202,2020-10-21 08:00:00,2020-10-28 06:00:00,0
36,8,10202,2020-10-21 08:00:00,2020-10-28 06:00:00,0
37,16,10202,2020-10-21 08:00:00,2020-10-28 06:00:00,0
38,4,12200,2020-10-28 08:00:00,2020-11-04 06:00:00,4
39,8,12200,2020-10-28 08:00:00,2020-11-04 06:00:00,4
40,16,12200,2020-10-28 08:00:00,2020-11-04 06:00:00,4
41,4,11100,2020-11-04 08:00:00,2020-11-11 06:00:00,1
42,8,11100,2020-11-04 08:00:00,2020-11-11 06:00:00,1
43,16,11100,2020-11-04 08:00:00,2020-11-11 06:00:00,1
44,4,10102,2020-11-11 08:00:00,2020-11-18 06:00:00,0
45,8,10102,2020-11-11 08:00:00,2020-11-18 06:00:00,0
46,16,10102,2020-11-11 08:00:00,2020-11-18 06:00:00,0
