---,RuleID,RuleInfo,RuleTerms,RuleMagnification,ValidRule,Struggle
0,0,ポートを3つ占拠してコアに攻撃,勝利条件,1,True,False
1,1,全ポートの占拠速度が遅い,ステージ特徴,0.89,True,False
2,2,Cポート以外の占拠速度が速い,ステージ特徴,1.1,True,False
3,3,B・Eポートのみ占拠速度が速い,ステージ特徴,1.2,True,False
4,4,AR撃破時チームゲージ減少量が大きい,ステージ特徴,1.3,True,False
5,5,ヴァンガードのみポート占拠速度が速い,ステージ特徴,1.2,True,False
6,6,ポート占拠速度UP,ステージ特徴,1,False,False
7,7,ポート占拠速度DOWN,ステージ特徴,1,False,False
8,8,タワーの耐久値UP,ステージ特徴,1000,True,False
9,9,タワーの耐久値DOWN,ステージ特徴,-1000,True,False
10,10,エアグランデの耐久値DOWN,ステージ特徴,-2500,True,False
11,11,コアの耐久値UP,ステージ特徴,2000,True,False
12,12,コアの耐久値DOWN,ステージ特徴,-2000,True,False
13,13,チームレベルが上がりやすい,ステージ特徴,1.2,True,False
14,14,チームレベルが上がりにくい,ステージ特徴,0.8,True,False
15,15,AR撃破時チームゲージ減少量が小さい,ステージ特徴,0.8,True,False
16,16,特定の武器の攻撃力UP,ステージ特徴,1,False,False
17,17,特定の武器のリロード速度UP,ステージ特徴,1,False,False
18,18,ポート占拠中特定の武器の攻撃力UP,ステージ特徴,1,False,False
19,19,ポート占拠中リロード速度UP,ステージ特徴,1,False,False
20,20,地上にいるとダメージを受ける,ステージ特徴,1,False,False
21,21,ポート占拠数に応じて攻撃力の増減,ステージ特徴,1,False,False
22,22,AR撃墜時の出撃待機時間減少,ステージ特徴,-2,True,False
23,23,アズワンスキル発動までのチームレベルが１下がる,ステージ特徴,1,True,False
24,24,ポートを3つ占拠して、コアに攻撃\nフェーズ３のみ敵エースを倒して、コアに攻撃,ステージ特徴,1,True,True
