---,StageID,ValidMap,StartDate,EndDate
0,10000,False,2999-01-01 00:00:00,2999-12-31 00:00:00
1,10100,False,2999-01-01 00:00:00,2999-12-31 00:00:00
2,10102,True,2017-01-01 00:00:00,2027-01-01 00:00:00
3,10202,True,2017-01-01 00:00:00,2027-01-01 00:00:00
4,11100,True,2017-01-01 00:00:00,2027-01-01 00:00:00
5,11200,True,2017-01-01 00:00:00,2027-01-01 00:00:00
6,12100,True,2019-11-20 08:00:00,2999-12-31 00:00:00
7,12200,True,2017-01-01 00:00:00,2027-01-01 00:00:00
8,13100,True,2020-06-17 08:00:00,2027-01-01 00:00:00
9,20000,True,2999-01-01 00:00:00,2999-12-31 00:00:00
10,20001,True,2017-01-01 00:00:00,2027-01-01 00:00:00
11,20002,True,2020-10-14 08:00:00,2027-01-01 00:00:00
12,20003,False,2999-01-01 00:00:00,2999-12-31 00:00:00
13,20004,True,2020-10-28 08:00:00,2027-01-01 00:00:00
14,20005,False,2999-01-01 00:00:00,2999-12-31 00:00:00
15,13101,False,2999-01-01 00:00:00,2999-12-31 00:00:00
16,13200,False,2999-01-01 00:00:00,2999-12-31 00:00:00
17,111102,False,2999-01-01 00:00:00,2999-12-31 00:00:00
18,111103,False,2999-01-01 00:00:00,2999-12-31 00:00:00
19,111104,False,2999-01-01 00:00:00,2999-12-31 00:00:00
20,111105,False,2999-01-01 00:00:00,2999-12-31 00:00:00
21,111106,False,2999-01-01 00:00:00,2999-12-31 00:00:00
22,111107,False,2999-01-01 00:00:00,2999-12-31 00:00:00
23,112103,False,2999-01-01 00:00:00,2999-12-31 00:00:00
24,112104,False,2999-01-01 00:00:00,2999-12-31 00:00:00
25,113101,False,2999-01-01 00:00:00,2999-12-31 00:00:00
26,113102,False,2999-01-01 00:00:00,2999-12-31 00:00:00
27,200000,False,2999-01-01 00:00:00,2999-12-31 00:00:00
28,300001,False,2999-01-01 00:00:00,2999-12-31 00:00:00
29,300002,False,2999-01-01 00:00:00,2999-12-31 00:00:00
30,300003,False,2999-01-01 00:00:00,2999-12-31 00:00:00
31,300004,False,2999-01-01 00:00:00,2999-12-31 00:00:00
32,300005,False,2999-01-01 00:00:00,2999-12-31 00:00:00
33,300006,False,2999-01-01 00:00:00,2999-12-31 00:00:00
34,300007,False,2999-01-01 00:00:00,2999-12-31 00:00:00
35,300008,False,2999-01-01 00:00:00,2999-12-31 00:00:00
