---,DataTableName,PlayerSpawnInvincibleSec,PlayerGetupInvincibleSec,PlayerGetupWarrantyInvincibleSec,PlayerRotateDegSpdSec,PlayerRotateDegLimit,SmallMobHP,SmallMobGutsVal,SmallMobCost,MediumMobHP,MediumMobGutsVal,MediumMobCost,LargeMobHP,LargeMobGutsVal1_Vital,LargeMobGutsVal1,LargeMobGutsVal2_Vital,LargeMobGutsVal2,LargeMobGutsVal3_Vital,LargeMobGutsVal3,LargeMobGutsVal4_Vital,LargeMobGutsVal4,LargeMobGutsVal5_Vital,LargeMobGutsVal5,LargeMobCost,LargeMobLockOnCorrectionRadius,BaseHP,BaseGutsVal1_Vital,BaseGutsVal1,BaseGutsVal2_Vital,BaseGutsVal2,BaseGutsVal3_Vital,BaseGutsVal3,BaseGutsVal4_Vital,BaseGutsVal4,BaseGutsVal5_Vital,BaseGutsVal5,BaseLoserGuts1_Vital,BaseLoserGuts1,BaseLoserGuts2_Vital,BaseLoserGuts2,BaseLoserGuts3_Vital,BaseLoserGuts3,BaseLoserGuts4_Vital,BaseLoserGuts4,BaseLoserGuts5_Vital,BaseLoserGuts5,BaseNoBarriorLowestTime,BaseRedBarriorTime,BaseLockOnCorrectionRadius,DefenseBaseHP,DefenseBaseGutsVal1_Vital,DefenseBaseGutsVal1,DefenseBaseGutsVal2_Vital,DefenseBaseGutsVal2,DefenseBaseGutsVal3_Vital,DefenseBaseGutsVal3,DefenseBaseGutsVal4_Vital,DefenseBaseGutsVal4,DefenseBaseGutsVal5_Vital,DefenseBaseGutsVal5,DefenseBaseCost,BaseGuardHP,BaseGuardGutsVal,BaseGuardCost,NeutralBaseHP,NeutralBaseAddPer,NeutralBasePinchLV,NeutralBaseDecoy,NeutralBaseReverseBonus,NeutralBasePowerupGUN,NeutralBaseAntagonismPer,NeutralBaseRoleType1,NeutralBaseRoleType2,NeutralBaseRoleType3,NeutralBaseRoleType4,NeutralBaseBonusR2W_RoleType1,NeutralBaseBonusR2W_RoleType2,NeutralBaseBonusR2W_RoleType3,NeutralBaseBonusR2W_RoleType4,NeutralBaseBonusW2B_RoleType1,NeutralBaseBonusW2B_RoleType2,NeutralBaseBonusW2B_RoleType3,NeutralBaseBonusW2B_RoleType4,NeutralBaseBonus_PortAAdjust,NeutralBaseBonus_PortBAdjust,NeutralBaseBonus_PortCAdjust,NeutralBaseBonus_PortDAdjust,NeutralBaseBonus_PortEAdjust,NeutralBaseBonus_FriendSupport,PinchLv1Rate,PinchLv2Rate,ChanceLv1Threshold,ChanceLv2Threshold,ChanceLv3Threshold,ChanceLv4Threshold,ChanceLv5Threshold,ChanceLv6Threshold,ChanceLv7Threshold,ChanceLv8Threshold,ChanceLv9Threshold,ChanceLv1BuffAttack,ChanceLv2BuffAttack,ChanceLv3BuffAttack,ChanceLv4BuffAttack,ChanceLv5BuffAttack,ChanceLv6BuffAttack,ChanceLv7BuffAttack,ChanceLv8BuffAttack,ChanceLv9BuffAttack,ChanceLv10BuffAttack,ChanceLv1BuffAttack_core,ChanceLv2BuffAttack_core,ChanceLv3BuffAttack_core,ChanceLv4BuffAttack_core,ChanceLv5BuffAttack_core,ChanceLv6BuffAttack_core,ChanceLv7BuffAttack_core,ChanceLv8BuffAttack_core,ChanceLv9BuffAttack_core,ChanceLv10BuffAttack_core,ChanceExpPlayer,ChanceExpMobNormal,ChanceExpMobFast,ChanceExpMobBig,ChanceExpStrongHold,ChanceExpStrongMidNone,ChanceExpStrongMidAlly,DamageCorrectionRate_core2,DamageCorrectionRate_core3,DamageCorrectionRate_core4,DamageCorrectionRate_core5,GameTime,InputMoveDeadZone,PlayerCostAdjust,PlayerRespawnWaitSec,PlayerRespawnWaitSecMax,PlayerRespawnWaitAddSec,PlayerHitStopSpdRate,PlayerBaseBlowOffPower,PlayerDownRecoverWaitSec,PlayerFlinchRecoverWaitSec,PlayerAbnormalRecoverWaitSec,PlayerBlowOffPowerValue,PlayerBlowOffPitchDeg,PlayerBlowOffInvincPowerValue,PlayerBlowOffInvincPitchDeg,PlayerBlowOffPassiveWaitSec,PlayerBlowOffPassiveInputWaitSec,PlayerBlowOffInvincPassiveWaitSec,PlayerBlowOffInvincPassiveInputWaitSec,PlayerLockOnDistanceType1,PlayerLockOnDistanceType2,PlayerLockOnDistanceType3,PlayerLockOnDistanceType4,PlayerLockOnDistanceGrapType1,PlayerLockOnDistanceGrapType2,PlayerLockOnDistanceGrapType3,PlayerLockOnDistanceGrapType4,PlayerLockOnAreaSizeType1,PlayerLockOnAreaSizeType2,PlayerLockOnAreaSizeType3,PlayerLockOnAreaSizeType4,PlayerLockOnChangeTimePlayerToOther,PlayerLockOnChangeTimeCoreToOther,AdjustHPValueType1,AdjustHPValueType2,AdjustHPValueType3,AdjustHPValueType4,AdjustShieldValueType1,AdjustShieldValueType2,AdjustShieldValueType3,AdjustShieldValueType4,AdjustReturnTimeType1,AdjustReturnTimeType2,AdjustReturnTimeType3,AdjustReturnTimeType4,AdjustSuperDashChargeTimeType1,AdjustSuperDashChargeTimeType2,AdjustSuperDashChargeTimeType3,AdjustSuperDashChargeTimeType4,AdjustSuperDashBoostStartType1,AdjustSuperDashBoostLoopType1,AdjustSuperDashBoostStartType2,AdjustSuperDashBoostLoopType2,AdjustSuperDashBoostStartType3,AdjustSuperDashBoostLoopType3,AdjustSuperDashBoostStartType4,AdjustSuperDashBoostLoopType4,AdjustSuperDashGaugeTimeType1,AdjustSuperDashGaugeTimeType2,AdjustSuperDashGaugeTimeType3,AdjustSuperDashGaugeTimeType4,AdjustStepBoostType1,AdjustStepBoostType2,AdjustStepBoostType3,AdjustStepBoostType4,PlayerHealRateAtHealWeapon,IntroSuperDashSpd,TutorialAirDashSpd,AbnormalStateBuffAtkRate,AbnormalStateBurningSlipSec,AbnormalStateFreezeSpeedDownRate,AIAdjustHP,AIAdjustCost,AIAdjustAttack,AIAdjustRespawn,AIAdjustPort,InputCameraRotAccel,InputHighSpeedTurnRate,BeginnerInputCameraRotAccelRate,BeginnerCameraPitchUpRate,BeginnerCameraPitchDownRate,BeginnerInputRotSpeedYawRate,BeginnerInputRotSpeedPitchRate,BeginnerInputHighSpeedTurnRate,BeginnerLockonSpeedYawRate,BeginnerLockonSpeedPitchRate,BeginnerLockonOuterWidth,BeginnerLockonOuterHeight,BeginnerLockonInnerWidth,BeginnerLockonInnerHeight,BeginnerBoostGaugeDecStartRate,BeginnerBoostGaugeDecDurationRate,BeginnerBoostGaugeAddStartRate,BeginnerBoostGaugeAddDurationRate,BurnStepDecrease,LockSpeedAdjust,LockRangeAdjust,DownPowerAdjust,TAGDamageRecoveryWaitTime,TAGDamageRecoveryTime,ARSkillLv2_Gauge,ARSkillLv3_Gauge,ARSkill_Muteki,ARSkill_Reload_Gauge75,ARSkill_Reload_Gauge50,ARSkill_Reload_Gauge25
System,0,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,10,0.7,15,0.5,20,0.33,30,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St100,10000,7,1.5,0.7,800,160,150,0,0,4000,10,0,6000,0.6,10,0.5,12,0.4,14,0.25,16,0.1,18,0,0,12000,0.8,5,0.7,10,0.5,15,0.33,20,0.2,25,0.2,2,0.3,3,0.4,4,0.5,5,0.6,10,1.5,12,0,1500,0.5,5,0.4,10,0.3,15,0.2,15,0.1,15,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1.1,1.1,1.1,1.1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6,0.44,0.35,0.05,16,0.45,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,0.7,1.2,0.6,1,0.2,8.5,1.5,1,0.4,0.75,1,0.5,1.4,2,2,600,400,600,400,0.9,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St101_09,10109,7,1.5,0.7,800,160,150,0,0,4000,10,0,7000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,9000,0.8,12,0.7,20,0.5,25,0.33,35,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2500,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1.08,1.08,1.15,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,60,20,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1.1,1.2,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,1,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St102,10200,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,12,0.7,20,0.5,25,0.33,35,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St102_2,10202,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,12,0.7,20,0.5,25,0.33,35,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St111,11100,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,10,0.7,15,0.5,20,0.33,30,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St112,11200,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,10,0.7,15,0.5,20,0.33,30,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St121,12100,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,10,0.7,15,0.5,20,0.33,30,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1.1,1.1,1,1.1,1.1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,12000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St122,12200,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,10,0.7,15,0.5,20,0.33,30,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1.3,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
St131,13100,7,1.5,0.7,800,160,150,0,0,4000,10,0,8000,0.6,5,0.5,7,0.4,10,0.25,15,0.1,20,0,0,12000,0.8,10,0.7,15,0.5,20,0.33,30,0.2,45,0.2,5,0.3,10,0.4,15,0.5,20,0.6,25,1.3,12,0,2900,0.5,10,0.4,15,0.3,20,0.2,25,0.1,30,0,5000,0,0,800,0.5,0.07,50,1,1,0.25,1,1,1,1,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1.03,0.666,0.333,250,550,950,1300,1800,2400,3000,3600,4200,1,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,1.1,0.5,0.6,0.8,1,1.05,1.1,1.15,1.18,1.2,1.22,30,16,100,100,100,4,7,0.6,0.44,0.35,0.05,16,0.3,1,10,10,0,0.025,5000,2,2,2,5000,30,7000,50,2,1.5,3,2,1.1,1,1.05,1,1,1,1,1,1,1,1.1,1,0.2,0.2,0,0,0,0,0,0,0,0,1,1,0.8,1,0.9,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,20000,4000,1.5,1,0.5,1,0.8,1,0.9,1,8.5,1.5,1,0.4,0.9,1,0.5,1.5,1.5,1.5,600,400,600,400,1,1,1,1,0,1,1,1,2,3,9000,3000,1,1,1,1
