---,LowRankId,HighRankId,TitleText,TexturePath,InfoText,Condition,ModeId,GameModeId,ActiveFlag,TypeId
0,0,0,-,,,0,1,0,False,0
1,1,0,チームゲージの減らし方,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_01.Tex_Tips_01',チームゲージは敵コアへの直接攻撃、敵ＡＲの撃破で減少する。\nコアの破壊は、コアへの直接攻撃でのみできる。,0,1,0,True,0
2,1,0,占拠ゲージの上昇,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_02.Tex_Tips_02',占拠ゲージはポート内の味方ＡＲが多いほど早く上昇する。\n敵ＡＲ、味方ＡＲの数が拮抗していると変動しない。,0,1,0,True,0
3,2,0,アサルトの性能（１）,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_03.Tex_Tips_03',フルドライブの継続時間が長くなり、速度も上がる。\nまた、ロックオン距離延長が付与される。,0,1,0,True,3
4,2,0,アサルトの性能（２）,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_79.Tex_Tips_79',敵チームに制圧されているポートを、中立に戻す速度が早い。,0,1,0,True,3
5,2,0,ヴァンガードの性能,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_04.Tex_Tips_04',ポート占拠力が高くなり、拮抗状態でも占拠ができる。\nまた、回避のブースト消費量減少が付与される。,0,1,0,True,3
6,2,0,サポートの性能（１）,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_05.Tex_Tips_05',マップ上で瀕死状態の味方ＡＲが点滅するようになる。\nまた、ロックオンエリア拡大と帰還時間短縮が付与される。,0,1,0,True,3
7,2,0,サポートの性能（２）,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_80.Tex_Tips_80',味方ＡＲと共にポートにいる際、占拠速度が早くなる。,0,1,0,True,3
8,2,0,アーマー値と耐久値,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_06.Tex_Tips_06',アーマー値は攻撃されると耐久値の代わりに減る。０の状態で\n攻撃されると耐久値が減り、耐久値が０になると撃破される。,0,1,0,True,0
9,3,0,エンブレム,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_07.Tex_Tips_07',カスタマイズ可能なプレイヤーのシンボル。\n占拠したポートにエンブレムのフラッグが出現する。,0,1,0,True,3
10,1,0,願掛け,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_08.Tex_Tips_08',出撃時、サブモニターでアズワンと願掛けをすることができる。,0,1,0,True,3
11,2,0,マグ,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_09.Tex_Tips_09',常にフィールドに存在する小型エア・リアル。\nポートに突撃し占拠ゲージを上昇させる。また、敵コアも攻撃する。,0,1,0,True,0
12,3,0,Sマグ,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_10.Tex_Tips_10',フェーズ２のチームに加勢する大型マグ。\nポートを経由し、敵ＡＲを攻撃する。また、敵コアも攻撃する。,0,1,0,True,0
13,2,0,サブモニターの画面切り替え,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_11.Tex_Tips_11',対戦中、サブモニターに表示されている情報を変更したい時\nタブを選択すると、マップやスコア一覧等の情報に変更できる。,0,1,0,True,1
14,3,0,DePS,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_12.Tex_Tips_12',共に戦うことで上昇するアズワンとの共感度。\n深くなるに連れてアズワンの意外な一面を見ることができる。,0,1,0,True,3
15,2,0,エア・グランデ（1）,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_13.Tex_Tips_13',フェーズ３のチームに加勢する巨大エア・リアル。\n進行中にいる敵を攻撃し、敵コアに辿り着くとコアを攻撃する。,0,1,0,True,0
16,2,0,エア・グランデ（2）,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_14.Tex_Tips_14',エア・グランデの耐久値を25％減らすたびに\nコアへの攻撃力が減少するので、諦めずに攻撃しよう。,0,1,0,True,0
17,2,0,ポートの占拠数,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_15.Tex_Tips_15',ポートを３つ占拠する事が、勝利の鍵。\n敵のいないポートは占拠チャンスなので、マップを意識しよう。,0,30,0,True,0
18,2,0,タワー,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_16.Tex_Tips_16',コアやポートの近くに防衛砲台として存在。\n近づいた敵を攻撃する。,0,1,0,True,0
19,2,0,ナイスプレイ,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_17.Tex_Tips_17',対戦中、勝利につながる行動、上手いプレイをすると獲得できる。\n獲得した分はスコアに加算され、ランクポイントアップに繋がる。,0,30,0,True,0
20,1,0,ブーストゲージ,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_18.Tex_Tips_18',ブーストダッシュやジャンプなどで消費するゲージ。\n一定時間経過で回復する。行動によって消費するゲージ量が異なる。,0,1,0,True,1
21,1,0,フルドライブゲージ,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_19.Tex_Tips_19',フルドライブ中、減少するゲージ。一定時間経過で回復する。\nゲージが最大でないとフルドライブできない。,0,1,0,True,1
22,2,0,オーバーヒート,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_20.Tex_Tips_20',ブーストゲージが０の状態。\n一定時間ブーストゲージを消費する行動ができなくなる。,0,1,0,True,1
23,2,0,ターゲットライン,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_21.Tex_Tips_21',ロックオンされると表示される矢印。状況によって色が変化する。,0,1,0,True,0
24,2,0,ロックオンカーソルの種類,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_22.Tex_Tips_22',自分の攻撃範囲内に標的を捉えたら、表示されるようになる。\nロックオンした武器や対象によって形が変化する。,0,1,0,True,0
25,2,0,リロードタイプ,Texture2D'/Game/GUI/OutGame/Tips/Tex/Tex_Tips_23.Tex_Tips_23',武器によってリロードの性質が異なる。\n弾切れでリロード、常時リロードの２種類がある。,0,1,0,True,0
