---,WeaponID,WeaponName,OutmenuID,WeaponAssetPath,ShotPrjID,ShotPrjIDLv2,ShotPrjIDLv3,ShotPosOffSetX,ShotPosOffSetY,ShotPosOffSetZ,InputType,WeaponAtkType,WeaponAtkTaeget,MaxLockOnNum,LockOnDistance,NearLockOn,WeaponKind,WeaponHoldType,AttachType,SubWepID,SideTrgAct,SideTrgWepID,SideNoAttack,PermissionSuperDash,PermissionOnGround,InputInterval,RapidInterval,ChargeTime,StartTime,ShotingTime,StopTime,AddLimitLengthStartTime,AddLimitLengthEndTime,IsSharingMagazine,DecBulletType,ReloadType,AttackPermitMaxBulletNum,ReloadTime,FirstReloadTime,ReloadStopTime,ReloadNum,MaxBulletNum,FirstBulletNum,BulletPerShot,MinRapidNum,MaxRapidNum,CustomReloadType,TmpData1,TmpData2,TmpData3,TmpData4,TmpData5,TmpData6,TmpData7,TmpData8,TmpData9,TmpData10,WpMoveVal01,WpMoveVal02,WpMoveVal03,EquipRollAssault,EquipRollVanguard,EquipRollSupport,EquipRollRanger,BuddyWeaponType,WeaponAnimeID,HoldWeaponType,HoldTime,RecoilMotionType,RecoilMoveTiming,RecoilMovePower,ShotCharaEffect,CameraType,ShakeType,StrengthShake,ShakeRate,IsWpAnimIdle,IsWpAnimRecoil,IsWpAnimReady,IsWpAnimReloadIn,IsWpAnimReloadLoop,IsWpAnimReloadOut,IsWpAnimChangeStorage,IsWpAnimChangeExpansion,IsWpAnimTransStart,IsWpAnimTransEnd,IsWpAnimTransLoop,IsWpAnimTransStartSub,IsWpAnimTransEndSub,IsWpAnimTransLoopSub,IsWpAnimGrapTransOpen,IsWpAnimGrapTransClose,IsWpAnimGrapTransOpenSub,IsWpAnimGrapTransCloseSub,IsCenterAimHUD,IsChangeColor,WeaponMaker,WeaponIcon,WeaponInfoTriggerType,WeaponInfo1,WeaponInfo2,WeaponInfo3,WeaponInfo4,WeaponInfo5,WeaponInfoScoreEvaluation,WeaponInfoPlayerDamage,WeaponInfoMobDamage,WeaponInfoRapidSpeed,WeaponInfoMagazine,WeaponInfoReloadSpeed,WeaponInfoUseable,WeaponInfoOther,WeaponCategory,WeaponSlayerEnemyType,WeaponInfoTargetOwner,WeaponInfoTargetFriendPlayer,WeaponInfoTargetFriendMob,WeaponInfoTargetFriendObject,WeaponInfoTargetEnemyPlayer,WeaponInfoTargetEnemyMob,WeaponInfoTargetEnemyObject,WeaponInfo2on2CrossBurst,WeaponInfo2on2BurstGauge,WeaponSizeInfo,WeaponInfoFlavorText_Main,WeaponInfoFlavorText_Sub,IsDefault
Empty,0,,0,/Game/Character/weapon/Blueprint/wp00000/BP_WpEmpty.uasset,0,0,0,0,0,0,EWeaponAttackIntervalType::None,EWeaponAttackType::None,EWeaponAtkTaeget::None,0,0,0,EWeaponKind::Main,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0,EDecBulletType::None,EWeaponReloadType::Reset,0,0,0,0,0,0,0,0,0,0,ECustomReloadType::None,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::None,0.35,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::None,EWeaponIcon::None,EWeaponInfoTriggerType::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::None,EWeaponInfoRank::None,EWeaponInfoRank::None,EWeaponInfoRank::None,EWeaponInfoRank::None,EWeaponInfoRank::None,EWeaponInfoRank::None,EWeaponCategory::None,EWeaponSlayerEnemyType::None,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,ここに武器の説明を記入する,ここに武器の説明を記入する,0
WPN_MachineGun,1,ミトライユ,101,/Game/Character/weapon/Blueprint/wp00001/BP_WpMachineGun.uasset,1,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Main,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.08,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Reset,0,7.5,7.5,0,40,40,40,1,5,255,ECustomReloadType::Bullet,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.1,ERecoilMotionType::Rapid,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker004,EWeaponIcon::None,EWeaponInfoTriggerType::Hold,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::B,EWeaponInfoRank::B,EWeaponInfoRank::B,EWeaponInfoRank::B_Plus,EWeaponInfoRank::B_Plus,EWeaponInfoRank::A,EWeaponInfoRank::None,EWeaponCategory::ShootingMiddle,EWeaponSlayerEnemyType::Enemy,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,開発：AVENIR　　型番：AVN-01\nミトライユシリーズはアベニールを代表する\n傑作武器である。その故障の少なさと安定性が\n現場の人間に評価されている。,　分類：マシンガン　　　　属性：実弾　　　 \n\n連射性能の高い実弾銃。,0
WPN_HandGun,2,拳銃 天火,301,/Game/Character/weapon/Blueprint/wp00002/BP_WpHandGun.uasset,2,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Sub,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.2,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Reset,0,6,6,0,16,16,16,1,1,255,ECustomReloadType::Bullet,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.1,ERecoilMotionType::RapidSmall,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker002,EWeaponIcon::None,EWeaponInfoTriggerType::Hold,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::D,EWeaponInfoRank::C,EWeaponInfoRank::B,EWeaponInfoRank::C,EWeaponInfoRank::A,EWeaponInfoRank::A,EWeaponInfoRank::None,EWeaponCategory::ShootingShort,EWeaponSlayerEnemyType::Enemy,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,開発：殴重鋼匠 　型番：殴弐式\nこの独特なメーカー名は\n「なぐりじゅうこうしょう」と読む。\n武器名の読みは「けんじゅう　てんか」。,　分類：ハンドガン　　　　属性：実弾　　　 \n\n連射性能の高い実弾銃。,0
WPN_PulseGun,3,,0,/Game/Character/weapon/Blueprint/wp00003/BP_WpPulseGun.uasset,3,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Sub,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.5,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Continuation,0,2,2,0,1,3,3,1,1,255,ECustomReloadType::None,2000,1800,1600,1400,1200,0,0,0,0,0,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.35,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker001,EWeaponIcon::None,EWeaponInfoTriggerType::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponCategory::ShootingShort,EWeaponSlayerEnemyType::None,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,,,0
WPN_BeamRifle,4,グレイン-AS,110,/Game/Character/weapon/Blueprint/wp00004/BP_WpBeamRifle.uasset,8,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Main,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.8,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Continuation,0,3,3,0,1,5,5,1,1,255,ECustomReloadType::Beam,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.2,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::ImpactStatic,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker003,EWeaponIcon::None,EWeaponInfoTriggerType::Hold,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::B,EWeaponInfoRank::B,EWeaponInfoRank::B_Plus,EWeaponInfoRank::C,EWeaponInfoRank::B_Plus,EWeaponInfoRank::A,EWeaponInfoRank::None,EWeaponCategory::ShootingMiddle,EWeaponSlayerEnemyType::Enemy,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,開発：MA-I　　型番：MA21BE\nグレインシリーズはメタリックアームズ・イ\nンダストリーの代表的な光学武器。\n命中精度の高さが人気である。,　分類：ライフル　　　　　属性：ビーム　　 \n\n標準的な火力を持つビーム銃。\n誘導性能が高い。　　　　,0
WPN_RocketLauncher,5,,0,/Game/Character/weapon/Blueprint/wp00005/BP_WpRocketLauncher.uasset,9,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Sub,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.15,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::EmptyReload,0,4.5,4.5,0,10,10,10,1,1,255,ECustomReloadType::None,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.35,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::ImpactDynamic,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker002,EWeaponIcon::None,EWeaponInfoTriggerType::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponCategory::ShootingMiddle,EWeaponSlayerEnemyType::None,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,,,0
WPN_3WayBeam,6,ラーゴ,701,/Game/Character/weapon/Blueprint/wp00006/BP_Wp3WayBeam.uasset,10,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Main,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,1,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Continuation,0,3,3,0,1,3,3,1,1,255,ECustomReloadType::Beam,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.2,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::ImpactDynamic,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker004,EWeaponIcon::None,EWeaponInfoTriggerType::Hold,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::B,EWeaponInfoRank::B_Plus,EWeaponInfoRank::C,EWeaponInfoRank::D,EWeaponInfoRank::B,EWeaponInfoRank::A,EWeaponInfoRank::None,EWeaponCategory::ShootingMiddle,EWeaponSlayerEnemyType::Enemy,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,開発：AVENIR　　型番：AVN-20\n広範囲攻撃用武器。\n広がって発射されるビームが敵を逃さない。\n近付いて来る敵を牽制するのに有効。,　分類：ワイドショット　　属性：ビーム　　 \n\n横に攻撃判定の広いビーム。\n誘導性能は低い。　　　　　,0
WPN_BoundGun,7,,0,/Game/Character/weapon/Blueprint/wp00007/BP_WpBoundGun.uasset,11,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Main,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.5,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Continuation,0,2,2,0,1,3,3,1,1,255,ECustomReloadType::None,1000,900,800,700,600,0,0,0,0,0,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.35,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker001,EWeaponIcon::None,EWeaponInfoTriggerType::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponInfoRank::A_Plus,EWeaponCategory::ShootingShort,EWeaponSlayerEnemyType::None,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,,,0
WPN_Pressure,8,ブートフィールド,630,/Game/Character/weapon/Blueprint/wp00008/BP_WpPressure.uasset,16,0,0,0,0,0,EWeaponAttackIntervalType::Trigger,EWeaponAttackType::Grapple,EWeaponAtkTaeget::None,0,0,0,EWeaponKind::Sub,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,1,0,0,0,0,0.1,1,0,EDecBulletType::Grap,EWeaponReloadType::EmptyReload,0,10,10,0,1,1,1,1,1,1,ECustomReloadType::None,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::LeftOnly,3,ERecoilMotionType::LeftOnlySet,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker001,EWeaponIcon::None,EWeaponInfoTriggerType::Single,EWeaponInfo::OneShotDown,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::C,EWeaponInfoRank::C,EWeaponInfoRank::None,EWeaponInfoRank::E,EWeaponInfoRank::C,EWeaponInfoRank::C,EWeaponInfoRank::None,EWeaponCategory::Special,EWeaponSlayerEnemyType::Enemy,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,開発：WXW　　型番：WXW-15A03\n強力な衝撃波を瞬間的に発生させる特殊な\n武器。安易に接近してきた敵機を咎める。\n「ブート」には追い出すという意味がある。,　分類：範囲攻撃　　　　　属性：特殊　　 \n自身から広範囲攻撃を発生させ、\nヒットした敵を吹き飛ばす。　　　\n発生中に完全無敵時間が存在する。,0
WPN_ShotGun,9,レブンパレット,602,/Game/Character/weapon/Blueprint/wp00009/BP_WpShotGun.uasset,17,0,0,0,0,0,EWeaponAttackIntervalType::Press,EWeaponAttackType::Ranged,EWeaponAtkTaeget::Enemy,0,0,0,EWeaponKind::Sub,EWeaponHoldType::One,EAttachType::Hand,0,ESideTrgAct::None,0,0,0,0,0,0.4,0,0,0,0,0.1,1,0,EDecBulletType::Bullet,EWeaponReloadType::Reset,0,8,8,0,3,3,3,1,1,255,ECustomReloadType::Bullet,100,250,450,700,1000,0,0,0,0,1,-1,-1,-1,0,0,0,0,EBuddyWeaponType::None,0,EHoldWeaponType::OneHandGun,0.1,ERecoilMotionType::Small,ERecoilMoveTiming::None,ERecoilMovePower::None,EShotCharaEffect::None,None,EShakeType::ImpactDynamic,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWeaponMaker::WeaponMaker003,EWeaponIcon::None,EWeaponInfoTriggerType::Hold,EWeaponInfo::OneShotFlinch,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfo::None,EWeaponInfoScoreEvaluation::None,EWeaponInfoRank::C,EWeaponInfoRank::C,EWeaponInfoRank::B_Plus,EWeaponInfoRank::D,EWeaponInfoRank::B_Plus,EWeaponInfoRank::B,EWeaponInfoRank::None,EWeaponCategory::ShootingShort,EWeaponSlayerEnemyType::Enemy,0,0,0,0,0,0,0,0,0,EWeaponSizeInfo::Medium,開発：MA-I　　型番：MA31BU\n散弾銃。広範囲に大量の実弾をばら撒いて\n攻撃する銃器。近い程効果が高いため、\n接近戦向き。,　分類：ショットガン　　　属性：実弾　　　 \n\n攻撃判定が広い散弾銃。\nリーチは短い。　　　　,0
