---,SetID,Name,MainRWeaponID,MainLWeaponID,SubRWeaponID,SubLWeaponID,SpEffect01,SpEffect01Val,SpEffect02,SpEffect02Val,SpEffect03,SpEffect03Val,SpEffect04,SpEffect04Val,Text,EquipARID,IsRelease,IsDefault
WPSET_DEFAULT,0,(例)アサルト初期セット,1,2,15,28,None,0,None,0,None,0,None,0,アサルトロールの初期武装セット,0,False,False
WPSET_PL001_00,100,セイヴァー,1,2,63,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n撃ち上げ性能に優れた\n扱いやすい武器が揃っている。,1,True,True
WPSET_PL001_01,101,セイヴァーⅡ,219,28,63,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n撃ち上げ性能に優れた\n火力特化の武器が揃っている。,1,True,True
WPSET_PL001_02,102,ブラスター,4,203,44,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n高威力の照射攻撃により\n大ダメージを狙える。,1,True,True
WPSET_PL001_03,103,メテオライト-SL,29,0,0,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n追尾レーザーや高威力弾など\n膨大な戦略で敵をねじ伏せる。,1,True,True
WPSET_PL001_04,104,調整用,0,0,0,0,None,0,None,0,None,0,None,0,使用禁止,1,False,False
WPSET_PL001_05,105,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_06,106,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_07,107,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_08,108,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_09,109,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_10,110,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_11,111,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL001_12,112,空き枠「ソリディア」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,1,False,False
WPSET_PL002_00,200,グラディアーラ,114,60,67,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n撃ち上げと撃ち落としの\n両方に対応することが出来る。,2,True,True
WPSET_PL002_01,201,グラディアーラⅡ,24,23,67,0,None,0,None,0,None,0,None,0,近距離向き。撃ち上げと\n撃ち落としへの対応力と、\n燃焼の継続ダメージが特徴。,2,True,True
WPSET_PL002_02,202,アウェスケージ,114,201,213,60,None,0,None,0,None,0,None,0,近距離から中距離向き。\n至近距離で戦うことで\nより高い火力を発揮する。,2,True,True
WPSET_PL002_03,203,アウェスケージⅡ,201,201,143,60,None,0,None,0,None,0,None,0,近距離向き。至近距離での\n戦いを求められるが、回転率と\nダウン性能を兼ね備えている。,2,True,True
WPSET_PL002_04,204,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_05,205,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_06,206,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_07,207,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_08,208,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_09,209,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_10,210,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_11,211,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL002_12,212,空き枠「カーディナル」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,2,False,False
WPSET_PL003_00,300,エアレイダー,35,6,31,0,None,0,None,0,None,0,None,0,中距離向き。\nフルドライブ攻撃と相性がよく\n効率よく撃ち上げを狙える。,3,True,True
WPSET_PL003_01,301,エアレイダーⅡ,211,53,31,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n氷結付与による妨害を用いて\n堅実に撃ち上げを狙える。,3,True,True
WPSET_PL003_02,302,チェイサー,53,53,120,23,None,0,None,0,None,0,None,0,近距離から中距離向き。\n敵の攻撃を制限しながら\n近接火力で圧倒できる。,3,True,True
WPSET_PL003_03,303,スマッシャー,35,52,65,0,None,0,None,0,None,0,None,0,近距離向き。\n継続的な攻撃をしつつ\nダウンを狙える。,3,True,True
WPSET_PL003_04,304,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_05,305,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_06,306,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_07,307,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_08,308,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_09,309,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_10,310,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_11,311,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL003_12,312,空き枠「スクラッパー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,3,False,False
WPSET_PL004_00,400,ホーク・アイ,4,118,42,0,None,0,None,0,None,0,None,0,遠距離向き。\n火力の高い攻撃に加え、\n狙撃により大ダメージを狙える。,4,True,True
WPSET_PL004_01,401,ホーク・アイⅡ,23,218,42,0,None,0,None,0,None,0,None,0,遠距離向き。\n接近してきた敵を退けやすく、\n狙撃により大ダメージを狙える。,4,True,True
WPSET_PL004_02,402,ホーク・アイⅢ,119,85,130,0,None,0,None,0,None,0,None,0,遠距離向き。\n敵の動きを抑制しつつ、\n狙撃により撃ち上げを狙える。,4,True,True
WPSET_PL004_03,403,レッド・アイ,53,218,131,0,None,0,None,0,None,0,None,0,中距離向き。\n使い勝手の良さと火力を備え、\n状況対応能力も優れている。,4,True,True
WPSET_PL004_04,404,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_05,405,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_06,406,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_07,407,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_08,408,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_09,409,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_10,410,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_11,411,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL004_12,412,空き枠「サイトヘッド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,4,False,False
WPSET_PL005_00,500,フォー・ユー,6,91,64,53,VitalUp,-100,None,0,None,0,None,0,中距離向き。\n自衛しつつ撃ち上げを狙える。\n【耐久値: -100】,5,True,True
WPSET_PL005_01,501,フォー・ユーⅡ,211,53,64,208,None,0,None,0,None,0,None,0,近距離から中距離向き。\n氷結状態で敵の動きを制限し\n味方の攻撃の補助が出来る。,5,True,True
WPSET_PL005_02,502,ウィズ・ユー,35,6,26,77,VitalUp,-200,None,0,None,0,None,0,中距離向き。\n回復と防衛による支援が出来る。\n【耐久値: -200】,5,True,True
WPSET_PL005_03,503,ウィズ・ユーⅡ,119,118,26,18,VitalUp,-200,None,0,None,0,None,0,中距離から遠距離向き。\n回復に特化した支援が出来る。\n【耐久値: -200】,5,True,True
WPSET_PL005_04,504,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_05,505,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_06,506,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_07,507,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_08,508,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_09,509,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_10,510,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_11,511,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL005_12,512,空き枠「シーユー・レイター」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,5,False,False
WPSET_PL006_00,600,クラッシャー,219,14,69,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n撃ち落としの火力が高い。,6,True,True
WPSET_PL006_01,601,クラッシャーⅡ,120,214,69,0,VitalUp,-100,None,0,None,0,None,0,近距離向き。盾での自衛に加え\n撃ち落としの火力が高い。\n【耐久値: -100】,6,True,True
WPSET_PL006_02,602,バレットマスター,27,14,20,0,VitalUp,0,None,0,None,0,None,0,中距離向き。\n圧倒的な弾幕により、絶えず\n攻撃を行うことが出来る。,6,True,True
WPSET_PL006_03,603,バレットマスターⅡ,27,76,17,0,VitalUp,-100,None,0,None,0,None,0,中距離向き。敵の射撃を\n防ぎつつ攻撃が出来る。\n【耐久値: -100】,6,True,True
WPSET_PL006_04,604,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_05,605,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_06,606,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_07,607,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_08,608,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_09,609,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_10,610,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_11,611,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL006_12,612,空き枠「ゴールテン・ダー」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,6,False,False
WPSET_PL007_00,700,エクシオン,1,2,129,28,None,0,None,0,None,0,None,0,中距離向き。\n敵を翻弄しながら\n高火力の一発を狙い撃つ。,7,True,True
WPSET_PL007_01,701,エクシオンⅡ,12,23,129,143,None,0,None,0,None,0,None,0,近距離向き。\n近接火力で圧倒しながら\n高火力の一発を狙い撃つ。,7,True,True
WPSET_PL007_02,702,ピストアルティ,2,2,12,143,None,0,None,0,None,0,None,0,近距離から中距離向き。\n至近距離で戦うことで\nより高い火力を発揮する。,7,True,True
WPSET_PL007_03,703,ティターン-AZ,1,52,70,0,None,0,None,0,None,0,None,0,中距離向き。\n障害物を貫通する斬撃が\n絶大な火力で敵を切り裂く。,7,True,True
WPSET_PL007_04,704,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_05,705,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_06,706,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_07,707,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_08,708,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_09,709,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_10,710,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_11,711,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL007_12,712,空き枠「アンゼロイ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,7,False,False
WPSET_PL008_00,800,ミシラケーテ,122,10,33,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n敵の動きを抑制しながら\n後方から撃ち上げを狙える。,8,True,True
WPSET_PL008_01,801,ミシラケーテⅡ,107,77,33,0,VitalUp,-100,None,0,None,0,None,0,遠距離向き。防衛性能に加え\n後方から撃ち上げを狙える。\n【耐久値: -100】,8,True,True
WPSET_PL008_02,802,レイヨンシュトラ,4,118,217,0,None,0,None,0,None,0,None,0,遠距離向き。\n高威力の照射攻撃により\n大ダメージを狙える。,8,True,True
WPSET_PL008_03,803,グングニル-DD,122,10,47,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n超高威力かつ超広範囲の\n極大レーザーを敵に浴びせる。,8,True,True
WPSET_PL008_04,804,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_05,805,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_06,806,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_07,807,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_08,808,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_09,809,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_10,810,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_11,811,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL008_12,812,空き枠「ディスドス」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,8,False,False
WPSET_PL009_00,900,ミカヅチ,13,91,58,9,VitalUp,-100,None,0,None,0,None,0,近距離向き。格闘攻撃による\n大ダメージを狙える。\n【耐久値: -100】,9,True,True
WPSET_PL009_01,901,ミカヅチⅡ,213,209,58,80,VitalUp,-100,None,0,None,0,None,0,近距離向き。火力の高い格闘\n攻撃に加えダウン性能が高い。\n【耐久値: -100】,9,True,True
WPSET_PL009_02,902,スサノーザ,13,80,12,9,None,0,None,0,None,0,None,0,近距離から中距離向き。\n攻撃手段が多く、敵の動きに\n柔軟に対応出来る。,9,True,True
WPSET_PL009_03,903,ティターン-SB,13,143,70,0,None,0,None,0,None,0,None,0,中距離向き。\n障害物を貫通する斬撃が\n絶大な火力で敵を切り裂く。,9,True,True
WPSET_PL009_04,904,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
